Year,Revenue receipts (2+9)
1974-75,6442
1975-76,7864
1976-77,8568
1977-78,9538
1978-79,10974
1979-80,11109
1980-81,12373
1981-82,15024
1982-83,17434
1983-84,19711
1984-85,23466
1985-86,28035
1986-87,33083
1987-88,37037
1988-89,43591
1989-90,52296
1990-91,54954
1991-92,66030
1992-93,74128
1993-94,75453
1994-95,91083
1995-96,110130
1996-97,126279
1997-98,133886
1998-99,149485
1999-00,181482
2000-01,192605
2001-02,201306
2002-03,230834
2003-04,263813
2004-05,305991
2005-06,347077
2006-07,434387
2007-08,541864
2008-09,540259
2009-10,572811
2010-11,788471
2011-12,751437
2012-13,879232
2013-14,1014724
2014-15,1101381
2015-16,1195025
2016-17,1374203
2017-18,1435233
2018-19,1552916
2019-20,1684059
2020-21,1555153
2021-22,1788424
